,Sales,Shipping Cost,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Consumer,Segment_Corporate,Segment_Home Office,Order Priority_Critical,Order Priority_High,Order Priority_Low,Order Priority_Medium,Market,Category,Sub-Category,Discount_Category,Quantity_Group
0,5175.171,36.402568733694565,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,388.37641610566544,547.0181282513585,618.7995506148653,315.40016500414833,609.6073465414407
1,2892.51,36.188641380694364,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,325.11465927437183,551.2407870510965,592.7743279017234,317.5926065615998,219.05990849899558
2,2862.675,35.67449327714229,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,386.588754653024,557.301945805007,599.8275830122599,315.2660279459084,215.647828239554
3,1822.08,35.57094120008028,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,399.98292057066675,484.39850682319,504.01471469537375,318.8897021144806,219.97619935088747
4,5083.96,34.484045755568935,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,288.9152576694697,141.57989684080871,97.82132858054277,315.40016500414833,215.97932144811426
5,4297.644,34.40577965081277,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,292.4115264132376,484.39850682319,1067.3827644716637,246.36302517994434,989.3864574236356
6,4626.15,33.194862532610884,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,388.9456752311504,474.7676060559353,1023.0852366784237,312.8044030177145,218.53507619900049
7,2616.96,33.0680313064419,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,195.76480067797704,557.301945805007,599.8275830122599,315.2660279459084,215.647828239554
8,3701.52,31.94942805538832,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,388.9456752311504,134.92147051773486,690.6897190689829,312.8044030177145,968.1170970313264
9,2249.91,30.992574754164163,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,292.10520795467284,558.0442281969677,275.9629362834874,312.8044030177145,591.375490589406
10,3409.74,30.29741119807345,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,200.09631988267543,141.049775726273,689.8487112975512,317.5926065615998,606.0993043325669
11,1977.72,30.140477623921335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,195.76480067797704,470.36561376156607,1011.326008259079,315.2660279459084,215.647828239554
12,2754.0,29.85952237607867,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,388.9456752311504,474.7676060559353,501.7705903254154,312.8044030177145,591.375490589406
13,5273.7,28.99418021272326,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,329.679100026585,138.72094115371613,710.9689952430142,318.8897021144806,605.8617523901554
14,1715.16,28.779851495083285,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,388.37641610566544,471.43272709182287,1028.046643408803,315.40016500414833,215.97932144811426
15,4158.912,28.341962673088503,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,292.10520795467284,558.0442281969677,617.4813404539929,312.8044030177145,591.375490589406
16,1878.72,27.917318884206306,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,388.37641610566544,471.43272709182287,500.5910325205533,315.40016500414833,215.97932144811426
17,2402.865,27.73550070238812,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,328.81914386088437,557.301945805007,679.4344924526591,315.2660279459084,612.9652566303295
18,2453.43,27.36905478627333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,292.10520795467284,474.7676060559353,501.7705903254154,252.16411032543482,218.53507619900049
19,2526.93,27.344170178607264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,386.85959466771703,141.049775726273,689.8487112975512,317.5926065615998,219.05990849899558
20,3817.26,26.876580373269114,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,179.3723709960399,558.0442281969677,617.4813404539929,312.8044030177145,591.375490589406
21,2799.96,26.756170981336545,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,307.59703249750515,551.2407870510965,662.8593492151681,317.5926065615998,219.05990849899558
22,7999.98,26.742925948223967,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,288.9152576694697,547.0181282513585,596.6266037581296,239.32415977434414,215.97932144811426
23,4141.02,26.507726269315675,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,335.9189249150099,547.0181282513585,756.3603765864287,315.40016500414833,914.0753332135083
24,3200.5962,26.18302227573751,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,388.37641610566544,547.0181282513585,618.7995506148653,315.40016500414833,609.6073465414407
25,4518.78,26.09552478426651,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,386.588754653024,557.301945805007,599.8275830122599,315.2660279459084,612.9652566303295
26,5667.87,26.081878386514152,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,388.9456752311504,474.7676060559353,655.5353776519075,312.8044030177145,968.1170970313264
27,5785.02,26.016857314870563,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,329.679100026585,556.6946488647278,597.1487560157383,318.8897021144806,605.8617523901554
28,3018.624,25.98394541440899,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,327.3805544653096,134.92147051773486,690.6897190689829,312.8044030177145,591.375490589406
29,9449.95,25.971904475215737,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,302.85726423003075,139.19994371923988,86.24956698920641,315.2660279459084,215.647828239554
30,2092.5,25.86634557495485,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,328.81914386088437,470.36561376156607,504.1001311601245,315.2660279459084,215.647828239554
31,2761.2,25.53602247641983,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,388.37641610566544,471.43272709182287,500.5910325205533,315.40016500414833,609.6073465414407
32,3473.14,25.125827814569536,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,226.09665292511727,471.43272709182287,500.5910325205533,315.40016500414833,914.0753332135083
33,3050.376,25.02628938390528,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,292.10520795467284,134.92147051773486,84.23812276046215,312.8044030177145,218.53507619900049
34,2108.64,24.982942002809555,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,192.45682675085848,547.0181282513585,756.3603765864287,315.40016500414833,609.6073465414407
35,2197.5,24.834437086092716,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,388.37641610566544,471.43272709182287,651.9964962023348,315.40016500414833,215.97932144811426
36,3149.93,24.45916114790287,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,288.9152576694697,547.0181282513585,756.3603765864287,315.40016500414833,609.6073465414407
37,4191.507,24.315472606863338,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,386.85959466771703,141.049775726273,689.8487112975512,317.5926065615998,606.0993043325669
38,4367.896,24.118803933373474,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,288.9152576694697,547.0181282513585,618.7995506148653,315.40016500414833,914.0753332135083
39,3063.27,24.110776640577967,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,388.9456752311504,474.7676060559353,655.5353776519075,312.8044030177145,591.375490589406
40,4643.8,24.034517359020672,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,292.4115264132376,556.6946488647278,652.4542567047872,318.8897021144806,219.97619935088747
41,4473.0,23.91651615492675,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,325.11465927437183,551.2407870510965,592.7743279017234,317.5926065615998,606.0993043325669
42,2104.55,23.499899658840057,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,302.85726423003075,139.19994371923988,699.091411583648,315.2660279459084,612.9652566303295
43,2188.05,23.495484647802527,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,327.3805544653096,474.7676060559353,655.5353776519075,312.8044030177145,218.53507619900049
44,1920.36,23.449729078868152,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,386.85959466771703,487.2631786751523,1045.6753143014537,317.5926065615998,219.05990849899558
45,1704.0,23.448123620309055,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,225.81268588720476,558.0442281969677,617.4813404539929,312.8044030177145,218.53507619900049
46,1858.68,23.361027493477824,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,203.71030721945144,487.2631786751523,1045.6753143014537,317.5926065615998,219.05990849899558
47,3298.26,23.3128637367048,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,386.85959466771703,487.2631786751523,508.84645093740977,317.5926065615998,606.0993043325669
48,3808.8,23.263495886012443,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,187.1608147219872,471.43272709182287,500.5910325205533,315.40016500414833,609.6073465414407
49,3427.1496,23.200883002207508,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,386.85959466771703,487.2631786751523,1045.6753143014537,252.58870441918558,606.0993043325669
50,2863.35,23.012642986152922,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,388.37641610566544,547.0181282513585,618.7995506148653,315.40016500414833,215.97932144811426
51,6354.95,22.982139273530002,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,292.10520795467284,134.92147051773486,84.23812276046215,312.8044030177145,218.53507619900049
52,1487.4,22.976520168573153,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,328.81914386088437,557.301945805007,755.9804270578518,315.2660279459084,612.9652566303295
53,2301.0,22.667068031306442,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,386.85959466771703,487.2631786751523,508.84645093740977,317.5926065615998,219.05990849899558
54,5729.346,22.654224362833638,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,325.11465927437183,487.2631786751523,508.84645093740977,317.5926065615998,973.7093121870159
55,5301.24,22.47361027493478,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,179.3723709960399,558.0442281969677,771.3312180521283,312.8044030177145,968.1170970313264
56,3219.9,22.30503712622918,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,325.11465927437183,551.2407870510965,592.7743279017234,317.5926065615998,219.05990849899558
57,2487.8088,22.220349187236604,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,388.9456752311504,134.92147051773486,690.6897190689829,312.8044030177145,591.375490589406
58,1581.48,21.762793497892837,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,386.85959466771703,551.2407870510965,768.8486895876498,317.5926065615998,606.0993043325669
59,2432.16,21.608669476219145,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,329.679100026585,138.72094115371613,710.9689952430142,318.8897021144806,219.97619935088747
60,3863.88,21.595023078466788,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,184.99868601289472,556.6946488647278,597.1487560157383,318.8897021144806,605.8617523901554
61,2465.82,21.592213525988363,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,386.85959466771703,487.2631786751523,508.84645093740977,317.5926065615998,606.0993043325669
62,1847.52,21.56813164760185,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,388.9456752311504,474.7676060559353,1023.0852366784237,312.8044030177145,218.53507619900049
63,2899.89,21.395544852498496,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,329.679100026585,484.39850682319,668.4414365038864,318.8897021144806,605.8617523901554
64,2891.7,21.394742123218947,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,388.9456752311504,474.7676060559353,501.7705903254154,312.8044030177145,591.375490589406
65,3155.544,21.329319686935584,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,328.81914386088437,139.19994371923988,699.091411583648,315.2660279459084,612.9652566303295
