Ciudad,Hotel,Cantidad de reviews,Calificación,Precio,Entrada desde,Entrada hasta,Salida desde,Salida hasta
Florence,Florence Heart Uffizi - Renovated and central,70,9.1,585.0,15:00,20:00,08:00,10:00
Florence,Appartamento la Ninfea,195,8.9,1842.38,14:00,19:00,07:00,10:00
Florence,BorgoDeGreci Apartments,468,8.7,590.63,14:00,00:00,06:00,10:00
Florence,B&B Le Stanze del Duomo,6580,8.5,619.3046249153,14:00,21:00,08:00,11:00
Florence,Adler Cavalieri Hotel-Private Spa & Gym,3628,8.5,722.0,15:00,00:00,00:00,12:00
Florence,Pietrapiana Boutique Apartments,1306,9.4,640.87,14:30,00:00,06:00,11:00
Florence,Lodges le Mura,309,9.1,558.9,14:00,00:00,08:00,10:00
Florence,Hostel Archi Rossi,4802,8.6,145.0,15:00,23:00,04:00,10:30
Florence,Relais Piazza Signoria,2468,9.0,1166.4,14:00,17:00,00:00,11:00
Florence,The Artists' Palace Florence,903,9.0,698.227028373,14:00,20:00,09:00,11:00
Florence,Hotel Ariele,1657,9.2,649.5878391257,14:00,23:30,07:00,12:00
Florence,Street Art Inn Florence,391,8.4,439.67,14:00,00:00,00:00,11:00
Florence,Hotel Art Atelier,1345,8.9,811.2825193805,14:00,00:00,04:00,11:00
Florence,Ruby Bea Hotel Florence,164,8.8,557.0,15:00,00:00,00:00,11:00
Florence,"""il Pitti"" Soggiorno",2031,7.8,481.4275821143,14:00,00:00,00:00,10:30
Florence,Hotel Residence La Contessina,1457,8.4,539.35,14:00,19:00,00:00,10:00
Florence,B&B Antiche Armonie,1201,8.8,552.69,10:00,17:00,00:00,10:00
Florence,Palazzo Niccolini al Duomo Residenza D'Epoca,635,9.3,1769.0,14:00,21:00,08:00,11:00
Florence,B&B Old Florence Inn,1031,8.5,620.1,09:00,19:00,06:00,11:00
Florence,Hotel Magenta,2374,8.6,571.0,13:30,00:00,07:00,10:30
Lisbon,Quarto com Varanda e WC Partilhado no Chiado Lisboa Centro Histórico de Lisboa,5,7.2,216.0,15:00,00:00,08:00,11:00
Lisbon,Cais Urban Lodge,1382,8.8,627.5017236523,15:00,00:00,00:00,12:00
Lisbon,Lisbon Serviced Apartments - Campos,4803,8.1,284.1998603681,14:00,00:00,00:00,12:00
Lisbon,Pensão Amor Madam's Lodge,979,8.9,486.0,17:00,00:00,00:00,14:00
Lisbon,Upon Angels - Adults Only,884,9.1,655.2,15:00,00:00,00:00,12:00
Lisbon,TURIM Iberia Hotel,5874,8.3,470.5595186203,14:00,00:00,00:00,12:00
Lisbon,TURIM Lisboa Hotel,2922,7.9,476.536953542,14:00,00:00,00:00,12:00
Lisbon,Superb Apartments Overlooking Graça in Lisbon,215,9.4,918.0,15:00,00:00,00:00,11:00
Lisbon,Sant Jordi Hostels Lisbon,3557,8.7,81.8700000000001,15:00,00:00,00:00,11:00
Lisbon,Browns Downtown Hotel,3717,8.6,606.5760963147,15:00,00:00,00:00,12:00
Lisbon,Esqina Cosmopolitan Lodge,1150,8.6,856.6152384631,15:00,00:00,00:00,12:00
Lisbon,Browns Central Hotel,4873,8.9,1001.7130963313,15:00,00:00,00:00,12:00
Lisbon,JAM Lisbon,1793,8.8,404.52,15:00,00:00,00:00,11:00
Lisbon,TURIM Saldanha Hotel,4208,8.2,500.8795737239,14:00,00:00,00:00,12:00
Lisbon,Luzeiros Suites,4192,8.3,372.6,14:00,00:00,00:00,12:00
Lisbon,toctoctoc lisboa,610,9.5,502.61,15:00,20:00,07:30,11:00
Lisbon,Lux Lisboa Park,5717,8.8,526.8063523134,15:00,00:00,00:00,12:00
Lisbon,TURIM Marques Hotel,5087,8.2,635.1922601078,14:00,00:00,00:00,12:00
Lisbon,TURIM Terreiro do Paço Hotel,5858,7.9,741.7453334655,14:00,00:00,00:00,12:00
Lisbon,Hotel Dom Carlos Liberty,3067,8.4,726.3,15:00,23:30,06:00,12:00
