Ciudad,Hotel,Cantidad de reviews,Calificación,Precio,Entrada desde,Entrada hasta,Salida desde,Salida hasta
Florence,Florence Heart Uffizi - Renovated and central,70,9.1,585.0,15:00,20:00,08:00,10:00
Florence,Appartamento la Ninfea,195,8.9,1842.38,14:00,19:00,07:00,10:00
Florence,BorgoDeGreci Apartments,468,8.7,590.63,14:00,00:00,06:00,10:00
Florence,B&B Le Stanze del Duomo,6580,8.5,619.3046249153,14:00,21:00,08:00,11:00
Florence,Adler Cavalieri Hotel-Private Spa & Gym,3628,8.5,722.0,15:00,00:00,00:00,12:00
Florence,Pietrapiana Boutique Apartments,1306,9.4,640.87,14:30,00:00,06:00,11:00
Florence,Lodges le Mura,309,9.1,558.9,14:00,00:00,08:00,10:00
Florence,Hostel Archi Rossi,4802,8.6,145.0,15:00,23:00,04:00,10:30
Florence,Relais Piazza Signoria,2468,9.0,1166.4,14:00,17:00,00:00,11:00
Florence,The Artists' Palace Florence,903,9.0,698.227028373,14:00,20:00,09:00,11:00
Florence,Hotel Ariele,1657,9.2,649.5878391257,14:00,23:30,07:00,12:00
Florence,Street Art Inn Florence,391,8.4,439.67,14:00,00:00,00:00,11:00
Florence,Hotel Art Atelier,1345,8.9,811.2825193805,14:00,00:00,04:00,11:00
Florence,Ruby Bea Hotel Florence,164,8.8,557.0,15:00,00:00,00:00,11:00
Florence,"""il Pitti"" Soggiorno",2031,7.8,481.4275821143,14:00,00:00,00:00,10:30
Florence,Hotel Residence La Contessina,1457,8.4,539.35,14:00,19:00,00:00,10:00
Florence,B&B Antiche Armonie,1201,8.8,552.69,10:00,17:00,00:00,10:00
Florence,Palazzo Niccolini al Duomo Residenza D'Epoca,635,9.3,1769.0,14:00,21:00,08:00,11:00
Florence,B&B Old Florence Inn,1031,8.5,620.1,09:00,19:00,06:00,11:00
Florence,Hotel Magenta,2374,8.6,571.0,13:30,00:00,07:00,10:30
