Ciudad,Hotel,Cantidad de reviews,Calificación,Precio,Entrada desde,Entrada hasta,Salida desde,Salida hasta
Lisbon,Quarto com Varanda e WC Partilhado no Chiado Lisboa Centro Histórico de Lisboa,5,7.2,216.0,15:00,00:00,08:00,11:00
Lisbon,Cais Urban Lodge,1382,8.8,627.5017236523,15:00,00:00,00:00,12:00
Lisbon,Lisbon Serviced Apartments - Campos,4803,8.1,284.1998603681,14:00,00:00,00:00,12:00
Lisbon,Pensão Amor Madam's Lodge,979,8.9,486.0,17:00,00:00,00:00,14:00
Lisbon,Upon Angels - Adults Only,884,9.1,655.2,15:00,00:00,00:00,12:00
Lisbon,TURIM Iberia Hotel,5874,8.3,470.5595186203,14:00,00:00,00:00,12:00
Lisbon,TURIM Lisboa Hotel,2922,7.9,476.536953542,14:00,00:00,00:00,12:00
Lisbon,Superb Apartments Overlooking Graça in Lisbon,215,9.4,918.0,15:00,00:00,00:00,11:00
Lisbon,Sant Jordi Hostels Lisbon,3557,8.7,81.8700000000001,15:00,00:00,00:00,11:00
Lisbon,Browns Downtown Hotel,3717,8.6,606.5760963147,15:00,00:00,00:00,12:00
Lisbon,Esqina Cosmopolitan Lodge,1150,8.6,856.6152384631,15:00,00:00,00:00,12:00
Lisbon,Browns Central Hotel,4873,8.9,1001.7130963313,15:00,00:00,00:00,12:00
Lisbon,JAM Lisbon,1793,8.8,404.52,15:00,00:00,00:00,11:00
Lisbon,TURIM Saldanha Hotel,4208,8.2,500.8795737239,14:00,00:00,00:00,12:00
Lisbon,Luzeiros Suites,4192,8.3,372.6,14:00,00:00,00:00,12:00
Lisbon,toctoctoc lisboa,610,9.5,502.61,15:00,20:00,07:30,11:00
Lisbon,Lux Lisboa Park,5717,8.8,526.8063523134,15:00,00:00,00:00,12:00
Lisbon,TURIM Marques Hotel,5087,8.2,635.1922601078,14:00,00:00,00:00,12:00
Lisbon,TURIM Terreiro do Paço Hotel,5858,7.9,741.7453334655,14:00,00:00,00:00,12:00
Lisbon,Hotel Dom Carlos Liberty,3067,8.4,726.3,15:00,23:30,06:00,12:00
