Equipo,Nombre_comun,Codigo_equipo,Posicion,Partidos,Victorias,Derrotas,Porcentaje_vic
Phoenix Suns,Suns,PHX,1,82,64,18,0.78
Memphis Grizzlies,Grizzlies,MEM,2,82,56,26,0.683
Golden State Warriors,Warriors,GSW,3,82,53,29,0.646
Miami Heat,Heat,MIA,4,82,53,29,0.646
Dallas Mavericks,Mavericks,DAL,5,82,52,30,0.634
Boston Celtics,Celtics,BOS,6,82,51,31,0.622
Milwaukee Bucks,Bucks,MIL,7,82,51,31,0.622
Philadelphia 76ers,76ers,PHI,8,82,51,31,0.622
Utah Jazz,Jazz,UTA,9,82,49,33,0.598
Denver Nuggets,Nuggets,DEN,10,82,48,34,0.585
Toronto Raptors,Raptors,TOR,11,82,48,34,0.585
Chicago Bulls,Bulls,CHI,12,82,46,36,0.561
Minnesota Timberwolves,Timberwolves,MIN,13,82,46,36,0.561
Brooklyn Nets,Nets,BKN,14,82,44,38,0.537
Cleveland Cavaliers,Cavaliers,CLE,15,82,44,38,0.537
Atlanta Hawks,Hawks,ATL,16,82,43,39,0.524
Charlotte Hornets,Hornets,CHA,17,82,43,39,0.524
Los Angeles Clippers,Clippers,LAC,18,82,42,40,0.512
New York Knicks,Knicks,NYK,19,82,37,45,0.451
New Orleans Pelicans,Pelicans,NOP,20,82,36,46,0.439
Washington Wizards,Wizards,WAS,21,82,35,47,0.427
San Antonio Spurs,Spurs,SAS,22,82,34,48,0.415
Los Angeles Lakers,Lakers,LAL,23,82,33,49,0.402
Sacramento Kings,Kings,SAC,24,82,30,52,0.366
Portland Trail Blazers,Trail Blazers,POR,25,82,27,55,0.329
Indiana Pacers,Pacers,IND,26,82,25,57,0.305
Oklahoma City Thunder,Thunder,OKC,27,82,24,58,0.293
Detroit Pistons,Pistons,DET,28,82,23,59,0.28
Orlando Magic,Magic,ORL,29,82,22,60,0.268
Houston Rockets,Rockets,HOU,30,82,20,62,0.244
