Temporada,Equipo,Salario,team_code
2023/24,Los Angeles Lakers,"$47,607,350 ($47,607,350*)",LAL
2022/23,Los Angeles Lakers,"$44,474,988 ($45,795,529*)",LAL
2021/22,Los Angeles Lakers,"$41,180,544 ($46,244,900*)",LAL
2020/21,Los Angeles Lakers,"$39,219,566 ($46,417,307*)",LAL
2019/20,Los Angeles Lakers,"$37,436,858 ($44,593,536*)",LAL
2018/19,Los Angeles Lakers,"$35,654,150 ($43,170,146*)",LAL
2017/18,Cleveland Cavaliers,"$33,285,709 ($41,459,735*)",CLE
2016/17,Cleveland Cavaliers,"$30,963,450 ($39,197,185*)",CLE
2015/16,Cleveland Cavaliers,"$22,970,500 ($29,368,777*)",CLE
2014/15,Cleveland Cavaliers,"$20,644,400 ($26,427,427*)",CLE
2013/14,Miami Heat,"$19,067,500 ($24,914,630*)",MIA
2012/13,Miami Heat,"$17,545,000 ($23,327,453*)",MIA
2011/12,Miami Heat,"$16,022,500 ($21,657,653*)",MIA
2010/11,Miami Heat,"$14,500,000 ($20,297,205*)",MIA
2009/10,Cleveland Cavaliers,"$15,779,912 ($22,321,508*)",CLE
2008/09,Cleveland Cavaliers,"$14,410,581 ($20,093,677*)",CLE
2007/08,Cleveland Cavaliers,"$13,041,250 ($19,097,502*)",CLE
2006/07,Cleveland Cavaliers,"$5,828,090 ($8,763,936*)",CLE
2005/06,Cleveland Cavaliers,"$4,621,800 ($7,250,142*)",CLE
2004/05,Cleveland Cavaliers,"$4,320,360 ($6,948,764*)",CLE
2003/04,Cleveland Cavaliers,"$4,018,920 ($6,675,060*)",CLE
