Número de Orden;Número de Mesa;Nombre del Plato; Costo Unitario ; Precio Unitario ;Cantidad Ordenada; Ganancia Bruta ;Ganancia Neta;Procentaje de ganancia;Tiempo de Preparación;Tiempo en formato;Observaciones;Estado de la Orden
1;10;Plato_7;14,00 €;24,00 €;2;48,00 €;28,00 €;58%;25;0:25:00;Ninguna;
1;10;Plato_2;18,00 €;30,00 €;3;90,00 €;54,00 €;60%;32;0:32:00;Sin cebolla;
2;6;Plato_17;19,00 €;31,00 €;1;31,00 €;19,00 €;61%;51;0:51:00;Ninguna;
2;6;Plato_6;16,00 €;27,00 €;1;27,00 €;16,00 €;59%;34;0:34:00;Sin cebolla;
3;20;Plato_20;25,00 €;40,00 €;1;40,00 €;25,00 €;63%;9;0:09:00;Sin cebolla;
3;20;Plato_17;19,00 €;31,00 €;1;31,00 €;19,00 €;61%;27;0:27:00;Ninguna;
3;20;Plato_19;22,00 €;36,00 €;1;36,00 €;22,00 €;61%;36;0:36:00;Ninguna;
3;20;Plato_9;17,00 €;29,00 €;2;58,00 €;34,00 €;59%;54;0:54:00;Sin cebolla;
4;3;Plato_11;20,00 €;33,00 €;3;99,00 €;60,00 €;61%;23;0:23:00;Sin cebolla;
4;3;Plato_16;16,00 €;28,00 €;3;84,00 €;48,00 €;57%;17;0:17:00;Ninguna;
5;8;Plato_12;11,00 €;19,00 €;1;19,00 €;11,00 €;58%;8;0:08:00;Ninguna;
5;8;Plato_7;14,00 €;24,00 €;2;48,00 €;28,00 €;58%;9;0:09:00;Sin cebolla;
6;7;Plato_8;21,00 €;35,00 €;2;70,00 €;42,00 €;60%;11;0:11:00;Sin cebolla;
7;17;Plato_15;19,00 €;32,00 €;2;64,00 €;38,00 €;59%;15;0:15:00;Sin cebolla;
7;17;Plato_19;22,00 €;36,00 €;3;108,00 €;66,00 €;61%;26;0:26:00;Ninguna;
8;11;Plato_5;13,00 €;22,00 €;3;66,00 €;39,00 €;59%;11;0:11:00;Ninguna;
8;11;Plato_16;16,00 €;28,00 €;2;56,00 €;32,00 €;57%;8;0:08:00;Ninguna;
