Costo,ID Salida,Salida,ID Llegada,Llegada,Tiempo,Paradas,Aerolínea,Hora de Salida,Hora de Llegada
428.0,MAD,Madrid,FLR,Florence,140,0,Vueling Airlines,2024-10-25T09:55:00,2024-10-25T12:15:00
428.0,FLR,Florence,MAD,Madrid,150,0,Vueling Airlines,2024-10-28T12:35:00,2024-10-28T15:05:00
429.0,MAD,Madrid,FLR,Florence,140,0,Vueling Airlines,2024-10-25T15:35:00,2024-10-25T17:55:00
429.0,FLR,Florence,MAD,Madrid,150,0,Vueling Airlines,2024-10-28T12:35:00,2024-10-28T15:05:00
290.0,MAD,Madrid,FLR,Florence,250,1,Vueling Airlines,2024-10-25T17:20:00,2024-10-25T21:30:00
290.0,FLR,Florence,MAD,Madrid,150,0,Vueling Airlines,2024-10-28T12:35:00,2024-10-28T15:05:00
281.68,MAD,Madrid,FLR,Florence,300,1,ITA Airways,2024-10-25T05:50:00,2024-10-25T10:50:00
281.68,FLR,Florence,MAD,Madrid,284,1,ITA Airways,2024-10-28T19:15:00,2024-10-28T23:59:00
451.98,MAD,Madrid,FLR,Florence,140,0,Vueling Airlines,2024-10-25T09:55:00,2024-10-25T12:15:00
451.98,FLR,Florence,MAD,Madrid,150,0,Vueling Airlines,2024-10-28T06:15:00,2024-10-28T08:45:00
438.0,MAD,Madrid,FLR,Florence,140,0,Vueling Airlines,2024-10-25T15:35:00,2024-10-25T17:55:00
438.0,FLR,Florence,MAD,Madrid,150,0,Vueling Airlines,2024-10-28T06:15:00,2024-10-28T08:45:00
295.0,MAD,Madrid,FLR,Florence,380,1,Air Europa,2024-10-25T15:10:00,2024-10-25T21:30:00
295.0,FLR,Florence,MAD,Madrid,150,0,Vueling Airlines,2024-10-28T12:35:00,2024-10-28T15:05:00
308.0,MAD,Madrid,FLR,Florence,450,1,ITA Airways,2024-10-25T07:05:00,2024-10-25T14:35:00
308.0,FLR,Florence,MAD,Madrid,150,0,Vueling Airlines,2024-10-28T12:35:00,2024-10-28T15:05:00
316.0,MAD,Madrid,FLR,Florence,300,1,ITA Airways,2024-10-25T05:50:00,2024-10-25T10:50:00
316.0,FLR,Florence,MAD,Madrid,150,0,Vueling Airlines,2024-10-28T12:35:00,2024-10-28T15:05:00
340.0,MAD,Madrid,FLR,Florence,415,1,ITA Airways,2024-10-25T11:35:00,2024-10-25T18:30:00
340.0,FLR,Florence,MAD,Madrid,150,0,Vueling Airlines,2024-10-28T12:35:00,2024-10-28T15:05:00
