,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
0,51.0,0.0,Travel_Rarely,Sales,6.0,2.0,Life Sciences,Female,1.0,Healthcare Representative,Married,131160.0,1.0,11.0,0.0,1.0,6.0,1.0,0.0,0.0,3.0,4.0,2.0,3.0,3.0
1,31.0,1.0,Travel_Frequently,Research & Development,10.0,1.0,Life Sciences,Female,1.0,Research Scientist,Single,41890.0,0.0,23.0,1.0,6.0,3.0,5.0,1.0,4.0,3.0,2.0,4.0,2.0,4.0
2,32.0,0.0,Travel_Frequently,Research & Development,17.0,4.0,Other,Male,4.0,Sales Executive,Married,193280.0,1.0,15.0,3.0,5.0,2.0,5.0,0.0,3.0,2.0,2.0,1.0,3.0,3.0
3,38.0,0.0,Non-Travel,Research & Development,2.0,5.0,Life Sciences,Male,3.0,Human Resources,Married,83210.0,3.0,11.0,3.0,13.0,5.0,8.0,7.0,5.0,4.0,4.0,3.0,2.0,3.0
4,32.0,0.0,Travel_Rarely,Research & Development,10.0,1.0,Medical,Male,1.0,Sales Executive,Single,23420.0,4.0,12.0,2.0,9.0,2.0,6.0,0.0,4.0,4.0,1.0,3.0,3.0,3.0
5,46.0,0.0,Travel_Rarely,Research & Development,8.0,3.0,Life Sciences,Female,4.0,Research Director,Married,40710.0,3.0,13.0,0.0,28.0,5.0,7.0,7.0,7.0,3.0,2.0,2.0,3.0,3.0
6,28.0,1.0,Travel_Rarely,Research & Development,11.0,2.0,Medical,Male,2.0,Sales Executive,Single,58130.0,2.0,20.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,4.0
7,29.0,0.0,Travel_Rarely,Research & Development,18.0,3.0,Life Sciences,Male,2.0,Sales Executive,Married,31430.0,2.0,22.0,3.0,10.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0
8,31.0,0.0,Travel_Rarely,Research & Development,1.0,3.0,Life Sciences,Male,3.0,Laboratory Technician,Married,20440.0,0.0,21.0,0.0,10.0,2.0,9.0,7.0,8.0,2.0,4.0,3.0,3.0,4.0
9,25.0,0.0,Non-Travel,Research & Development,7.0,4.0,Medical,Female,4.0,Laboratory Technician,Divorced,134640.0,1.0,13.0,1.0,6.0,2.0,6.0,1.0,5.0,2.0,1.0,3.0,3.0,3.0
10,45.0,0.0,Travel_Rarely,Research & Development,17.0,2.0,Medical,Male,2.0,Laboratory Technician,Married,79910.0,0.0,13.0,2.0,21.0,2.0,20.0,4.0,10.0,3.0,4.0,3.0,2.0,3.0
11,36.0,0.0,Travel_Rarely,Research & Development,28.0,1.0,Life Sciences,Male,1.0,Laboratory Technician,Married,33770.0,0.0,12.0,2.0,16.0,2.0,15.0,10.0,11.0,4.0,4.0,3.0,3.0,3.0
12,55.0,0.0,Travel_Rarely,Research & Development,14.0,4.0,Life Sciences,Female,1.0,Sales Executive,Single,55380.0,0.0,17.0,0.0,37.0,2.0,36.0,4.0,13.0,4.0,1.0,3.0,3.0,3.0
13,47.0,1.0,Non-Travel,Research & Development,1.0,1.0,Medical,Male,1.0,Research Scientist,Married,57620.0,1.0,11.0,2.0,10.0,4.0,10.0,9.0,9.0,1.0,2.0,2.0,2.0,3.0
14,28.0,0.0,Travel_Rarely,Research & Development,1.0,3.0,Life Sciences,Male,1.0,Manufacturing Director,Married,25920.0,1.0,14.0,0.0,5.0,2.0,5.0,0.0,4.0,4.0,4.0,2.0,3.0,3.0
15,37.0,0.0,Travel_Rarely,Research & Development,1.0,3.0,Life Sciences,Male,2.0,Healthcare Representative,Married,53460.0,4.0,11.0,0.0,7.0,2.0,5.0,0.0,1.0,3.0,4.0,4.0,3.0,3.0
16,21.0,0.0,Travel_Rarely,Research & Development,3.0,2.0,Life Sciences,Male,1.0,Laboratory Technician,Single,42130.0,1.0,12.0,3.0,3.0,3.0,3.0,1.0,0.0,4.0,3.0,4.0,2.0,3.0
17,37.0,0.0,Non-Travel,Research & Development,1.0,3.0,Medical,Male,2.0,Sales Executive,Divorced,41270.0,2.0,13.0,1.0,15.0,2.0,5.0,0.0,2.0,1.0,4.0,3.0,3.0,3.0
18,35.0,0.0,Travel_Rarely,Sales,7.0,4.0,Life Sciences,Male,1.0,Sales Representative,Divorced,24380.0,7.0,16.0,0.0,10.0,5.0,7.0,6.0,2.0,2.0,2.0,2.0,2.0,3.0
19,38.0,0.0,Travel_Rarely,Research & Development,8.0,3.0,Life Sciences,Female,1.0,Manager,Divorced,68700.0,1.0,11.0,1.0,8.0,5.0,8.0,7.0,7.0,1.0,1.0,3.0,3.0,3.0
20,26.0,0.0,Travel_Frequently,Research & Development,1.0,4.0,Other,Male,2.0,Laboratory Technician,Divorced,104470.0,1.0,18.0,0.0,6.0,3.0,6.0,1.0,4.0,3.0,2.0,1.0,3.0,3.0
